latitude,longitude,weather,description,temperature,feels_like,temp_min,temp_max,humidity,wind_speed,wind_deg,wind_gust,cloud,timestamp,city_name,rain_1h,rain_3h,snow_1h,snow_3h
49.02,-122.803,Clouds,overcast clouds,301.17,303.09,295.82,304.74,64,0.45,248,1.79,87,1660852801,White Rock,0,0,0,0
49.02,-122.803,Clouds,overcast clouds,299.98,301.5,294.7,304.74,67,0.89,247,1.79,87,1660852700,White Rock,0,0,0,0
49.02,-122.803,Clouds,overcast clouds,300.18,301.89,294.7,305.67,68,2.24,210,3.13,87,1660854293,White Rock,0,0,0,0
49.02,-122.803,Clouds,broken clouds,301.03,302.64,295.25,307.34,62,1.79,219,3.13,65,1660855194,White Rock,0,0,0,0
49.02,-122.803,Clouds,broken clouds,301.37,303.17,295.25,307.89,62,1.79,223,2.68,65,1660856094,White Rock,0,0,0,0
49.02,-122.803,Clouds,broken clouds,302.04,304.15,296.08,307.34,61,3.13,223,4.02,65,1660856995,White Rock,0,0,0,0
49.02,-122.803,Clouds,broken clouds,301.85,303.83,295.81,307.89,61,1.79,223,3.58,65,1660857896,White Rock,0,0,0,0
49.02,-122.803,Clouds,broken clouds,302.02,304.11,295.81,308.45,61,2.68,223,4.02,53,1660858796,White Rock,0,0,0,0
49.02,-122.803,Clouds,broken clouds,302.2,304.27,296.36,309.01,60,2.68,221,4.02,53,1660859697,White Rock,0,0,0,0
49.02,-122.803,Clouds,broken clouds,303.39,305.83,296.92,309.01,57,3.13,226,4.02,53,1660860597,White Rock,0,0,0,0
49.02,-122.803,Clouds,broken clouds,302.61,304.81,296.92,309.01,59,2.68,221,4.02,53,1660861498,White Rock,0,0,0,0
49.02,-122.803,Clouds,broken clouds,302.57,304.74,296.92,309.01,59,2.68,221,4.02,60,1660862399,White Rock,0,0,0,0
49.02,-122.803,Clouds,broken clouds,302.57,304.58,296.92,308.9,58,2.68,221,4.02,60,1660863299,White Rock,0,0,0,0
49.02,-122.803,Clouds,broken clouds,303.94,307.09,298.03,308.34,58,2.24,250,3.13,60,1660864200,White Rock,0,0,0,0
49.02,-122.803,Clouds,broken clouds,303.19,305.47,297.48,308.55,57,1.79,252,2.68,60,1660865100,White Rock,0,0,0,0
49.02,-122.803,Clouds,broken clouds,302.12,304.13,295.81,308.55,60,2.24,267,3.13,66,1660866001,White Rock,0,0,0,0
